lemma,image,sense_chosen,COCO/TUHOI
point,COCO_train2014_000000199522.jpg,1,COCO
point,COCO_val2014_000000191270.jpg,1,COCO
point,COCO_val2014_000000488915.jpg,2,COCO
point,COCO_train2014_000000117071.jpg,1,COCO
point,COCO_val2014_000000398076.jpg,1,COCO
point,COCO_train2014_000000060155.jpg,1,COCO
point,COCO_val2014_000000260595.jpg,1,COCO
point,COCO_train2014_000000489853.jpg,1,COCO
point,COCO_train2014_000000436544.jpg,1,COCO
point,COCO_train2014_000000333337.jpg,1,COCO
point,COCO_train2014_000000121535.jpg,3,COCO
point,COCO_train2014_000000122164.jpg,1,COCO
point,COCO_train2014_000000015220.jpg,2,COCO
point,COCO_train2014_000000252443.jpg,1,COCO
point,COCO_train2014_000000060624.jpg,1,COCO
point,COCO_val2014_000000545289.jpg,1,COCO
point,COCO_val2014_000000310545.jpg,1,COCO
point,COCO_train2014_000000063337.jpg,1,COCO
point,COCO_train2014_000000142666.jpg,1,COCO
point,COCO_train2014_000000047742.jpg,1,COCO
point,COCO_val2014_000000014392.jpg,1,COCO
point,COCO_train2014_000000201032.jpg,1,COCO
point,COCO_val2014_000000384136.jpg,2,COCO
point,COCO_val2014_000000315974.jpg,1,COCO
point,COCO_train2014_000000111705.jpg,1,COCO
point,COCO_train2014_000000172680.jpg,1,COCO
point,COCO_val2014_000000389419.jpg,1,COCO
point,COCO_val2014_000000076572.jpg,1,COCO
point,COCO_val2014_000000009729.jpg,1,COCO
point,COCO_train2014_000000476139.jpg,1,COCO
point,COCO_train2014_000000416482.jpg,1,COCO
point,COCO_train2014_000000251111.jpg,2,COCO
point,COCO_val2014_000000262686.jpg,1,COCO
point,COCO_train2014_000000366048.jpg,1,COCO
point,COCO_train2014_000000265586.jpg,1,COCO
point,COCO_val2014_000000091636.jpg,1,COCO
point,COCO_val2014_000000214869.jpg,1,COCO
point,COCO_val2014_000000512307.jpg,2,COCO
point,COCO_val2014_000000575110.jpg,1,COCO
point,COCO_train2014_000000569203.jpg,1,COCO
point,COCO_val2014_000000156687.jpg,1,COCO
point,COCO_train2014_000000054254.jpg,1,COCO
point,COCO_train2014_000000146510.jpg,1,COCO
point,COCO_val2014_000000157771.jpg,1,COCO
set,COCO_train2014_000000430686.jpg,1,COCO
set,COCO_train2014_000000220793.jpg,1,COCO
set,COCO_val2014_000000243955.jpg,1,COCO
set,COCO_val2014_000000183456.jpg,1,COCO
set,COCO_train2014_000000425114.jpg,1,COCO
set,COCO_train2014_000000112673.jpg,1,COCO
set,COCO_train2014_000000486415.jpg,1,COCO
set,COCO_train2014_000000467646.jpg,1,COCO
set,COCO_train2014_000000119621.jpg,1,COCO
set,COCO_train2014_000000225477.jpg,1,COCO
set,COCO_train2014_000000008821.jpg,1,COCO
set,COCO_val2014_000000110672.jpg,1,COCO
set,COCO_train2014_000000384857.jpg,1,COCO
set,COCO_val2014_000000553942.jpg,1,COCO
set,COCO_train2014_000000554015.jpg,1,COCO
set,COCO_val2014_000000242007.jpg,1,COCO
set,COCO_train2014_000000523332.jpg,1,COCO
set,COCO_val2014_000000333034.jpg,1,COCO
set,COCO_val2014_000000020908.jpg,1,COCO
set,COCO_val2014_000000150763.jpg,1,COCO
set,COCO_val2014_000000035395.jpg,1,COCO
set,COCO_val2014_000000158924.jpg,1,COCO
set,COCO_train2014_000000012146.jpg,1,COCO
set,COCO_val2014_000000157955.jpg,1,COCO
set,COCO_val2014_000000489550.jpg,1,COCO
set,COCO_train2014_000000429980.jpg,-1,COCO
help,COCO_train2014_000000181136.jpg,1,COCO
help,COCO_val2014_000000406873.jpg,1,COCO
help,COCO_train2014_000000102281.jpg,1,COCO
help,COCO_train2014_000000047867.jpg,1,COCO
help,COCO_train2014_000000363957.jpg,1,COCO
help,COCO_train2014_000000049904.jpg,1,COCO
help,COCO_train2014_000000313091.jpg,1,COCO
help,COCO_train2014_000000429122.jpg,1,COCO
help,COCO_train2014_000000543663.jpg,1,COCO
help,COCO_train2014_000000287466.jpg,1,COCO
help,COCO_train2014_000000397929.jpg,1,COCO
help,COCO_train2014_000000355571.jpg,1,COCO
help,COCO_train2014_000000116088.jpg,1,COCO
help,COCO_val2014_000000022213.jpg,1,COCO
help,COCO_val2014_000000324962.jpg,1,COCO
help,COCO_val2014_000000321866.jpg,1,COCO
help,COCO_train2014_000000219926.jpg,1,COCO
help,COCO_val2014_000000397890.jpg,1,COCO
help,COCO_train2014_000000516329.jpg,1,COCO
help,COCO_train2014_000000326048.jpg,1,COCO
show,COCO_train2014_000000164100.jpg,3,COCO
show,COCO_val2014_000000409914.jpg,3,COCO
show,COCO_val2014_000000410735.jpg,3,COCO
show,COCO_train2014_000000349530.jpg,3,COCO
show,COCO_val2014_000000249532.jpg,3,COCO
show,COCO_train2014_000000110269.jpg,1,COCO
show,COCO_train2014_000000232001.jpg,1,COCO
show,COCO_train2014_000000447823.jpg,1,COCO
show,COCO_train2014_000000356184.jpg,3,COCO
show,COCO_train2014_000000209246.jpg,3,COCO
show,COCO_train2014_000000556154.jpg,1,COCO
show,COCO_train2014_000000010130.jpg,3,COCO
show,COCO_train2014_000000011223.jpg,1,COCO
show,COCO_val2014_000000329542.jpg,1,COCO
show,COCO_train2014_000000457371.jpg,3,COCO
show,COCO_train2014_000000039065.jpg,3,COCO
show,COCO_val2014_000000204887.jpg,3,COCO
show,COCO_val2014_000000174371.jpg,1,COCO
show,COCO_val2014_000000554266.jpg,3,COCO
show,COCO_train2014_000000535046.jpg,3,COCO
show,COCO_train2014_000000316448.jpg,3,COCO
show,COCO_train2014_000000054130.jpg,1,COCO
show,COCO_train2014_000000175111.jpg,3,COCO
show,COCO_train2014_000000308722.jpg,4,COCO
show,COCO_val2014_000000352127.jpg,3,COCO
show,COCO_train2014_000000133331.jpg,3,COCO
