verb	sense_num	queries
help	1	money helping orphans,  helping locate bodies,  assist someone,  helping carry groceries,  helping around the house,  helping clarify goals,  helping prevent accidents,  helping look brighter,  pill helping,  helping increase sales,  helping see steps,  police helping,  helping carry potatoes,  helping carry
help	2	helping yourself to potatoes,  helping yourself to supplies,  helping yourself to pie,  eat potatoes,  waiter serving customer,  eat pie,  serve food
show	1	showing disappointment,  exhibit showing life,  scar showing up,  scars showing,  showing talent,  showing parking spot,  showing flights,  DNA showing,  graffiti showing through,  button showing,  cueson showing,  thermometer showing,  showing suit,  showing thoughts,  showing difference,  disgust showing up,  upbringing showing,  cursor showing,  trials showing effectiveness,  showing notes,  thermometer showing temperature,  clerks hows shoes
show	3	demo at conference,  exhibit work,  horse showing,  gallery exhibit,  dog showing,  exhibit gallery,  demo exhibit,  showing dog
show	4	Tourist Asking for Directions,  people showing directions,  usher theatre,  man showing to seat,  showing directions,  usher cinema
move	1	moving out troops,  moving on to fiddle,  change position,  moving boxes,  moving out,  messages moving,  troops moving out,  music moving,  stock market moving,  moving account,  earnings moving,  moving hand,  moving over,  company moving towards outsourcing,  moving box
move	5	sell shop,  garage sale,  flea market sale,  sell market
move	4	moving around,  change affiliation,  headquarters moving,  moving to company,  moving to Miami,  change residence,  moving to party,  change employment,  moving in together,  moving to new office,  moving into house,  moving to Nebraska,  moving out of condo
rest	1	resting in shade,  person resting,  birds resting,  relaxing sleep,  animals sleeping
rest	3	cause to be inactive,  resting troops,  resting leg,  resting field,  resting hand
rest	2	head leaning on shoulder,  resting cane against wall,  supported,  book resting on shelf,  lean cane against wall,  resting hand,  resting head on shoulder
pitch	2	boat pitching down wave,  pitching into battle,  fall into fire,  plane pitching to right,  run into battle,  boat stuck in waves,  run into fire,  pitching into fire
pitch	5	terrain pitching up,  be at an angle,  ceiling pitching,  lean at an angle
pitch	7	pitching innings,  pitching game,  baseball pitching thow
pitch	6	erect tent,  pitching tent,  setting up tent
touch	1	make physical contact with,  touching fingertips,  touching hands
touch	2	buildings touching,  arms touching,  touching hands,  shadow touching,  ball touching ground,  touching people,  sunlight touching wall,  come in contact
touch	6	makeup final touching,  touching on painting,  touching up paint,  improve appearance,  touching up make-up,  touching earrings with gold,  touching up photos,  goldsmith working
blow	10	chicken laying eggs,  lay eggs,  bird laying eggs
blow	13	face blowing up,  inflate balloon,  fill with air,  blowing balloon
blow	12	blowing stack,  get angry,  anger shout,  blowing fuse
blow	14	blowing up picture,  blowing up story,  blowing gum,  blowing bubbles,  blowing up balloon,  blowing inflatable
blow	1	blowing out candles,  blowing whale,  blowing nose,  whale blowing,  exhale,  blowing on soup,  blowing candle
blow	3	blowing trumpet,  whistle blowing,  blowing horn,  blowing whistle,  blowing instrument
blow	2	blowing kiss,  blowing leaves,  wind blowing,  blowing dry hair
blow	4	garage explosion,  blowing top,  laptop blowing up,  laptop on fire,  garage explodes,  volcano explosion,  blowing up garage,  bomb blowing up,  well blowing out,  volcano blowing,  blowing fuse,  blowing out plug,  blowing off roof
blow	7	blowing vase,  blowing glass,  shape by blowing
blow	8	blowing sex,  blowing job
cut	1	cutting bushes,  cutting finger,  Scalpel Incision,  cutting branch away,  cutting hair,  gardener cutting bushes,  cutting butter,  boat cutting water,  cutting with scalpel,  cutting rope with scissors,  cutting nails,  cutting grain,  cutting up ham,  cutting rope,  knife cutting
cut	3	cutting diamonds,  cutting record,  cutting check,  cutting CD,  cutting titles,  cutting dress,  cutting film,  cutting trench,  cutting deal,  cutting hair,  cutting cloth,  Person Cutting with Scissors,  cutting paper
cut	4	car turning left,  cutting in front of,  turn,  cutting chin,  car turn,  cutting across platform,  cutting off,  cutting in,  car cutting to left,  cutting through
cut	7	baby cutting tooth,  grow through the gums,  baby new tooth,  tooth cutting
spread	1	spreading rug,  spead map out,  spreading fingers,  spreading arms wide,  spreading wings,  spreading wing,  spreading toes,  spreading arms
spread	3	spreading table,  spreading bread with cheese,  spreading the bed,  spreading bed,  spreading ground with ash
spread	2	spreading paint,  spreading jam,  spot spreading across water,  spreading news,  spreading out seed,  spreading information,  fire spreading,  suburbs spreading out,  virus spreading through contact,  spreading seed,  spreading feast,  spreading on bread,  rumor spreading,  redundancies spreading,  spreading out parts,  spreading parts on floor,  spreading houses,  spreading varnish,  oil spot spreading,  spreading work,  spreading butter,  truth spreading,  houses spreading
board	1	boarding train,  boarding plane,  boarding ship
board	3	provide lodging,  boarding traveler,  lady boarding,  offer accommodation,  boarding cousin,  accommodation
board	2	eat hotel,  boarding at hotel,  sleep hotel,  boarding at place,  hotel guest,  lodge take meals,  boarding in house,  eat breakfast hotel
board	4	boarding wall,  boarding up hole,  boarding up windows,  boarding windows
kick	1	kicking ball,  kicking door down,  kicking the door,  kicking in face,  kicking man in face,  kicking foot
kick	2	wander,  kicking heels,  old alive,  baby kicking legs,  man kicking around,  kicking around house,  be alive,  kicking about town,  be active,  wait
shoot	1	shooting with gun,  shooting off mouth,  shooting bystander,  missiles shooting,  missiles were shooting,  shooting person,  shooting missiles,  shooting down,  shooting down proposal,  shooting back answer,  shooting down aircraft,  shooting down missile,  shooting with rubberbands,  shooting projectile,  shooting in head
shoot	3	movie shooting,  camera photoshoot,  director shooting film,  shooting photo,  taking pictures,  shooting picture,  shooting film,  director shooting movie,  shooting movie,  make film,  shooting photos,  director set
shoot	2	star shooting sky,  shooting dice,  pain shooting up leg,  move swiftly,  shooting into street,  dragon shooting flames,  price shooting up,  star shooting through sky,  motorcycle shooting down street,  move suddenly,  shooting glance,  shooting flames,  shooting through with band
shoot	5	shooting basket,  score goal,  shooting hole-in-one,  shooting ball basket,  score basket,  golf hole-in-one game,  shooting craps,  score in game
shoot	4	shooting drugs,  shooting hydrogen,  inject with,  shooting hydrigen into balloon,  shooting up drug,  shooting into veins,  inject,  injection shots,  shooting heroine,  shooting glucose
shoot	6	shooting star,  measure altitude,  shooting sextant,  astronomer shooting star,  shooting altitude,  shooting Sirius,  using sextant,  astronomer shooting,  measure sextant,  shooting star with sextant
hit	10	person go to sleep,  go to sleep,  hitting sack,  hitting hay,  sleeping
hit	1	hitting with bullet,  hitting brother,  hitting with bat,  cat hitting tree,  strike with,  hitting ball to,  bullet hitting,  hitting ball
hit	5	hitting ball,  hitting home run,  ball strike,  hitting field,  ball striking
hit	4	people get drunk,  consume to excess,  hitting up,  hitting cookies,  hitting bottle
hit	7	hitting on woman,  flirting man,  flirting woman
hit	8	throw oneself to ground,  hitting dirt
read	1	reading word,  person reading novel,  reading author,  reading maps,  look at newspaper,  reading book,  reading map,  person reading paper,  reading novels,  reading novel,  reading Chinese,  reading Braille,  person reading book,  look at books
read	2	sign reading danger,  watch reading,  thermoeter reading,  passage reading,  theremometer reading,  have a specific wording,  thermometer reading degrees,  danger sign,  thermometer reading,  signs,  poem reading,  law reading
read	4	reading out loud,  reading to children,  reading poem,  reading audition
watch	1	watching person,  watching game,  watching tv,  people watching game,  watching,  watching for person,  people watching sports,  observe classroom,  observe,  watching game spectator,  watching dog,  watching market
watch	3	monitor closely,  watching camp,  babysit,  shepherd watching flock,  watching flock,  watching baby,  watching over my stuff,  watching prisoner
watch	2	watching out for opportunity,  guard patrol,  watching with binoculars,  watching out for pickpockets,  watching out for anyone
break	2	breaking career,  breaking clock,  breaking alibi,  belt breaking,  breaking bank,  breaking code
break	10	breaking into house,  burglar breaking into house
break	13	people breaking dancing,  dancing on streets,  dancer breaking
break	12	breaking to the left,  change direction,  turn around
break	16.1	cookie breaking up,  breaking off arm,  iceberg breaking up,  breaking puzzle pieces,  breaking box open,  pinata breaking open,  breaking toy
break	1	surf breaking on rocks,  breaking into pieces,  breaking glass,  breaking figurine,  dam breaking,  breaking boxers,  breaking foot,  figurine breaking,  breaking fire,  breaking banknote,  glass breaking,  fire breaking ranks,  breaking plate,  plate breaking,  surf breaking,  breaking set,  branch breaking,  breaking branch,  breaking tie
break	16.6	thief breaking in,  enter unlawfully,  breaking into house,  thief breaking into house
break	16.5	breaking through wall,  molar breaking through gums,  pierce wall
break	16.4	breaking out in hives,  bread away from crowd,  convict breaking loose,  pigs breaking out,  breaking into acting,  war brakes out,  breaking out champagne,  anger breaking loose,  champagne bottle popping,  breaking into song,  horse breaking into gallop
break	5	breaking horse,  train horses,  subdue
break	7	story breaking,  whales emerging,  whale breaking,  news breaking,  dawn breaking,  breaking news,  storm breaking,  horse breaking
break	8	pierce skin with needle,  pierce,  needle skin,  fish breaking water,  pierce skin,  breaking skin,  breaking skin with needle
break	16.8	breaking down,  breaking up laughing,  collapse,  breaking up,  laughing,  crying
fall	11	separate into pieces,  sphinx falling apart,  person falling apart,  glass break into pieces,  bread falling apart,  bread break into pieces
fall	1	people falling down,  falling off,  barometer falling,  sleet falling,  vase falling,  rain falling,  snow falling,  falling back in chair,  branch falling from tree,  falling to knees,  snow falling down,  falling down,  jaw falling open,  descend
fall	13	soldiers falling out,  military formation,  troops falling in,  troops move,  marching formations
fall	9	falling down forward,  falling in direction,  falling off the stairs
fall	7	be in downward position,  hills falling towards ocean,  fabric falling,  hair falling about shoulders,  dress falling off,  hair falling till shoulders
cook	1	make food,  cooking food with heat,  boiling food,  cooking burgers,  barbecue,  boiling vegetables,  cooking meal,  cooking food,  cooking vegetables
cook	2	burning under sun,  laptop burning,  burning laptop,  burning under sun beach
slide	1	sliding off suit,  sliding on ice,  sliding beer,  gliding,  sliding down,  sliding dress,  sliding on bannisters,  cars sliding ice,  slipping,  tools sliding
slide	2	sliding money,  sliding money into hand,  sliding past gate,  move deceptively,  move secretly,  move sneakily,  sliding into good grace,  sliding secretly,  sliding bottle into pocket,  thief hiding,  sliding into seat
race	1	rush,  racing tricycle,  racing bicycle,  racing to higher ground,  move top speed,  run around house,  racing around,  run alone,  racing clock,  care for cure,  racing around house,  racing car,  rescuers racing,  racing through chores,  mind racing,  move speed
race	3	engine racing,  racing engine,  speed engine
race	2	compete in a racing,  racing competition,  racing championship,  racing drivers,  racing truck,  rats racing,  racing against clock,  people racing on road,  racing or competition,  compete racing
mount	1	tv on wall,  consumer mounting pictures,  mounting camera,  frame mounting engine,  mounting work on cards,  mounting brackets,  mounting CD,  mounting chair
mount	3	campaigning,  troops formation,  mounting play,  mounting expedition,  mounting army,  mounting campaign,  mounting exhibition,  mounting attack
mount	5	person climbing a mountain,  mounting stairway,  mounting mountain,  climb gradually,  mounting hill
mount	4	mounting on horse,  mountain wave,  ride the waves,  mounting bike,  stand on chair,  mounting horse,  mounting platform,  sit on bike
mount	6	stallion mounting mare,  animal math with,  stallion mate with mare
set	11	setting knife,  hone knives
set	10	wolves attacking,  attack,  people attacking food,  wolf attack,  eat food,  dog attack,  attack dogs
set	12	reproduce,  tree full of fruit,  trees fructify,  fructify
set	1	write on paper,  setting clothes,  goldsmith at work,  setting rubies around,  setting purse on table,  setting bushes,  type setting by hand,  position
set	2	sinking,  sun setting,  helicopter setting down,  helicopter landing,  sun setting on empire
set	7	carpenter fixing nail,  carpenter setting nail straight,  setting hair,  solidify jelly gelatin,  gelatine setting
set	9	sitting down,  person sitting down,  setting there
shake	1	shaking off,  shaking baby,  chemist mixing in flask,  salt shaker pouring,  shaking salt,  hands shaking,  bartender shaking drink
shake	3	shaking your finger,  shaking hands,  shaking fist,  dog shaking hand,  shaking finger,  shaking booty,  shaking head
play	1	child playing,  playing hide-and-seek,  dog playing,  kids playing
play	11	playing hooked fish,  fishing
play	2	chess tournament,  club playing,  playing catcher,  playing cards,  playing opening,  playing football,  playing tennis,  playing backhand,  playing club
play	5	playing lead,  playing three nights,  playing innocent,  playing dead,  playing helpless,  act a role,  pay villain,  playing Evita,  perform a role,  perform in a theatre,  theatre playing
play	4	playing at recital,  playing record,  stereo playing,  radio playing,  playing guitar,  band playing,  radio playing song,  playing music,  playing in a band,  playing an instrument,  stereo playing song
bounce	1	children bouncing on bed,  car bouncing off tree,  bouncing on trampoline,  bouncing ball,  boy bouncing ball,  hair bouncing,  bag bouncing,  car bouncing off,  bouncing on bed,  bouncing baby on knee,  ball bouncing
bounce	3	move energetically,  bouncing into room,  move cheerfully,  bouncing to feet,  walk cheerfully,  children bouncing,  bouncing up to guests
bounce	6	batter bouncing out,  batter bouncing,  baseball bouncing,  baseball hit ball infielder
jump	1	horse jumping,  puppy jumping,  jumping from seat,  jumping around,  jumping off,  jumping back and forth,  jumping back on horse,  tiger jumping hoop,  person jumping,  horse jumping fence,  jumping off bridge,  dog jumping,  jumping in car
jump	2	train jumping off tracks,  leave the rails unexpectedly,  door jumping track,  train jumping track,  plan jumping track
jump	5	jumping car,  jumping Honda
jump	4	assault,  muggers attacking,  mugger assault
wrap	1	wrapping around body,  wrapping the baby,  wrapping museum in plastic,  wrapping presents,  wrapping flag around body,  wrapping blindfold around eyes,  wrapping blindfold,  wrapping up baby,  wrapping in plastic,  wrapping baby
wrap	2	wrapping paper around dowel,  wrapping handlebar,  wrapping paper,  wrapping rope,  wind around,  wind around yarn,  wrapping yarn,  wrapping the rope
wrap	4	standing in circle game,  wrapping ball around,  guide around
pass	12	dog pooping,  excrete,  passing kidney stone
pass	13.11	rub,  rub with circular motion,  wipe,  passing hands over cloth
pass	1	passing by,  passing professor,  passing by people,  passing site,  horse passs front runner,  passing mind
pass	4	passing car,  pPassing ball with hands,  passing ball,  passing house,  passing papers,  passing plate,  passing files,  passing farm
pass	7	passing thread through needle,  passing fingers over surface,  hand sewing needle thread,  guide through
pass	6	bridge extend,  bridrge passing over river,  bridge passing
pass	13.5	black out,  fainting person,  passing out
pass	13.2	broadcast,  Passing Notes,  newsreader reading news,  passing news,  teacher passing out exam,  passing message
pass	13.1	make a journey,  plane over city,  car passing by,  passing through enemy line,  passing through chemical,  plane passing over city,  army passing across dessert,  glacier passing over land,  time passing on,  passing through valley
slice	1	slicing potatoes,  slide lungs,  slicing cantaloupe with knife,  slicing liver,  helicopter slicing,  slicing pie,  cut apart,  slicing shirt,  slicing heart,  slicing cantaloupe,  snake slicing,  cutting pie with knife
slice	2	hit golf ball,  slicing ball,  hitting a ball,  hit ball spin slicing,  slicing golf ball
lead	2	leading tournament,  leading word,  travel in front of,  leading parade,  leading troops,  precede,  be first
lead	5	leading donkey,  leading horse,  guide people,  walking with horse,  leading dog
lead	7	running wire,  place wire,  run wire
lean	1	ladder leaning against wall,  incline,  leaning on furniture,  leaning on bookcase,  inclined position,  leaning over banister,  leaning against wall,  leaning back in chair
lean	2	leaning bike left,  leaning bike,  leaning fork against wall,  leaning against wall
paddle	1	canoe paddling,  paddling rowboat,  paddling canoe,  paddling lifeboat,  with paddling,  rowing team boat,  paddling boat,  paddling boat to shore,  paddling for gold
paddle	3	spank brat,  paddling punishment,  parents spanking kids,  spank,  parents spank children
paddle	2	kids paddling in pool,  dog paddling,  paddling around lake,  paddling around shallow end,  kids swimming,  paddling in pool
paddle	4	paddling glaze,  paddling product,  paddling vat,  stir with paddling,  stirring the paint,  person stirring pot,  paddling paint
run	11	make animals running,  dogs running deer,  running deer,  running horses,  running cattle,  running dogs
run	13.15	photocopy,  running off copies,  using a copy machine
run	12	dress unravel,  unravel,  heel unravel
run	13.11	running down figures,  running down suspect
run	13.12	scan list,  person looking at paper,  scan
run	13.13	accident,  running into bench,  accident running into
run	1	running marathon,  running coast,  person running,  running waters,  running ball touchdown,  running around,  running miles,  man running,  dog running,  move quickly,  dogs running,  children running,  people running
run	13.14	make people running,  running behind people
run	5	river running,  flowing river,  color running,  nose running,  runny nose,  melting wax,  wax running,  liquid flow,  melting icecream
run	4	running fingers,  running fingers through hair,  running eyes
run	6	showing ads,  running ad,  running plan by director,  running through show,  story running
run	13.6	killed by accident,  car running down,  running over dog,  running down by car,  animal killed by accident,  running over cat,  running over squirrel
run	8	running fever sick,  running danger health
run	13.2	inflation running away,  running off with collection,  escape control,  running off with friend,  running away from home,  running off
run	13.3	water flow over bucket,  water running down,  sewage running off,  water flow over glass,  bathtub running over,  gasoline running out
run	13.1	person running,  kids running around,  dog running by,  running out of room,  dog running,  kids running
reach	1	arrive at state,  reaching land,  reaching can,  plane reaching speed,  reaching into wallet,  sunlight reaching wall,  reaching conclusion,  attain state,  smell reaching nostrils,  team reaching finals,  water reaching doorstep,  reaching into pocket,  reaching into,  reaching goal
reach	3	pass on,  transfer,  give something to someone,  reaching person shield,  pass,  give something
reach	5	extend,  water reaching,  reaching into,  reaching sky,  reaching into courtroom,  reaching out to,  reaching out
reach	4	reaching for something,  reaching for,  reaching for notes,  reaching for object,  reaching for rope
put	1	putting date on calendar,  putting name above title,  putting player on team,  putting food on table,  putting tray on table,  place putting,  putting player first place
put	7.30	refugee camp,  putting up refugees
put	7.17	putting out fire,  people extinguishing fire,  putting lights out,  extinguish
put	7.28	construct boat,  construct house,  putting up house,  construct ship
put	7.12	write poem,  putting down,  write,  person writing poem,  person filling forms
put	7.13	land an aircraft,  putting down plane,  plane landing,  landing an aircraft
put	7.25	gain weight,  augment,  putting on weight
put	7.24	preserve hay in storage,  putting in hay,  putting up preserves
put	7.26	putting on coat,  putting on clothes,  Putting On a Shirt,  Putting On a Sweater
put	7.18	putting forward foot,  putting out hand
