lemma	sense_num	definition	ontonotes_sense_examples	visualness_label
perch	1	sit, come to rest	"The birds perched on the tree.
Misfortune perched upon him.
A raven perched high in the pine."	1.0
perch	2	cause to sit	"She perched her hat on her head.
The child perched the glass on the edge of the table.
John perched his books next to his computer."	1.0
help	1	assist someone, improve a condition, or contribute to a goal	"Please help me carry the groceries in.
The children helped around the house.
The police are helping to locate the bodies.
More lighting would help people see the steps.
Those pills haven't helped John get well.
This money is to help orphans get an education.
Repainting the room white helped it to look bigger.
This will help to prevent accidents.
The protests actually helped increase sales.
Using the learning objectives helped clarify the goals of the task."	1.0
help	2	avail of, supply	"She is helping herself to more potatoes.
The waiter offered to help him to another slice of pie.
He told me to help myself to the office supplies."	1.0
help	3	refrain from doing	"They could not help watching the burning building.
I couldn't help myself from eating another chocolate.
Do you think she could help being a brat if she tried?"	0.0
show	1	(cause to) be seen, reveal, demonstrate	"He showed us the secret parking spot.
The sales clerk showed me some nice suits.
Could you show me your notes?
Please show me Tuesday flights to DEN that leave in the morning from LAX?
Whatever she's thinking, she never lets it show.
I've painted over the graffiti twice, but it still shows through.
A cursor is supposed to show in this box, when I click on the blue button.
I rolled up my sleeve so the missing button wouldn't show.
His upbringing really shows.
The scars showed up within a few days of injury.
The DNA showed that John was not the father of that child.
The clinical trials showed the effectiveness of that drug against AIDS.
The rookie showed his outfielding talent during the playoffs.
He showed his disappointment by sulking the rest of the day.
Careful. Your disgust shows up on your face.
The polls are showing only a 3-point difference between the candidates.
The thermometer showed 10 below zero this morning.
The art exhibit showed many aspects of life in Polynesia.
So then stop boasting about your talent, and show it to me!"	1.0
show	3	demo; exhibit something for public viewing	"She is showing her new work at a downtown gallery.
The horse didn't show well at his last competition.
We're going to show this application at two upcoming conferences.
They show their dog every year."	1.0
show	4	usher, direct, or guide	The man in the purple suit showed us to our seats.	1.0
show	5	win 3rd place in a contest	Her dog didn't win, place or show in New York last year.	0.0
glaze	1	coat with a glaze	"The potter glazed the dishes.
Julia glazed the test cup with sample colors.
Krispy Kreme glazes their doughnuts right in front of the customers.
I will glaze the pound cake once it cools.
Marty glazed the cupcakes with potter's glaze by mistake."	1.0
glaze	2	become glassy	"The student's eyes glazed over during the extremely boring lecture.
People glaze over when they feel overwhelmed.
He is completely glazed over from lack of interest.
Ira's eyes glazed over after the first half hour of knitting club.
Children glaze over when dragged to adult functions."	1.0
